Team,Games_Played,Wins,Losses,Minutes_Played,Points,Field_Goals_Attempted,Field_Goals_Made,Field_Goal_Pct,Three_pts_made,Three_pts_attempted,Three_pt_pct,Free_Throws_Made,Free_Throws_Attempted,Free_Throw_Pct,Offensive_Rebounds,Defensive_Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Personal_Fouls,Last_Year
Minnesota Timberwolves,60,31,29,2895,6952,2572,5212,49.3,719,2013,35.7,1089,1412,77.1,537,1933,2470,1532,941,488,318,1316,Playoffs
Utah Jazz,59,29,30,2847,6943,2498,5259,47.5,833,2297,36.3,1114,1413,78.8,692,1926,2618,1520,890,383,287,1217,Playoffs
Denver Nuggets,58,40,18,2794,6790,2552,4997,51.1,701,1784,39.3,985,1313,75,570,1908,2478,1684,868,439,258,1115,Playoffs
Los Angeles Lakers,58,26,32,2819,6784,2506,5212,48.1,606,1792,33.8,1166,1496,77.9,561,2068,2629,1453,816,372,262,1066,No post season
Atlanta Hawks,58,29,29,2809,6766,2560,5348,47.9,617,1768,34.9,1029,1260,81.7,620,1929,2549,1430,746,405,284,1104,Playoffs
Golden State Warriors,57,29,28,2761,6756,2456,5143,47.8,948,2461,38.5,896,1134,79,564,1932,2496,1706,939,407,216,1256,Playoffs
Indiana Pacers,59,25,34,2837,6753,2423,5282,45.9,810,2247,36,1097,1383,79.3,599,1856,2455,1557,890,472,344,1260,No post season
New York Knicks,59,32,27,2877,6752,2435,5283,46.1,713,2062,34.6,1169,1518,77,764,2000,2764,1325,754,363,236,1230,No post season
Cleveland Cavaliers,60,38,22,2915,6705,2473,5063,48.8,688,1891,36.4,1071,1378,77.7,580,1941,2521,1497,838,421,263,1120,No post season
Boston Celtics,57,41,16,2771,6702,2373,5011,47.4,903,2397,37.7,1053,1274,82.7,542,2030,2572,1500,770,353,304,1077,Playoffs
Sacramento Kings,56,32,24,2703,6700,2423,4899,49.5,741,2029,36.5,1113,1390,80.1,503,1839,2342,1504,783,385,186,1106,No post season
New Orleans Pelicans,58,30,28,2814,6677,2455,5110,48,628,1763,35.6,1139,1458,78.1,641,1913,2554,1495,871,499,246,1198,Playoffs
Dallas Mavericks,59,31,28,2872,6671,2323,4914,47.3,872,2394,36.4,1153,1542,74.8,472,1818,2290,1316,732,382,221,1231,Playoffs
Charlotte Hornets,59,16,43,2862,6630,2476,5437,45.5,634,1955,32.4,1044,1399,74.6,692,1945,2637,1489,811,477,293,1227,No post season
Oklahoma City Thunder,56,27,29,2718,6587,2442,5185,47.1,685,1873,36.6,1018,1271,80.1,638,1806,2444,1386,762,464,274,1197,No post season
Toronto Raptors,58,27,31,2804,6563,2397,5278,45.4,633,1883,33.6,1136,1451,78.3,735,1748,2483,1346,679,537,302,1191,Playoffs
Portland Trail Blazers,57,28,29,2746,6562,2330,4821,48.3,744,1977,37.6,1158,1440,80.4,561,1812,2373,1386,836,354,246,1174,No post season
LA Clippers,59,31,28,2847,6548,2367,5062,46.8,744,1974,37.7,1070,1384,77.3,584,1990,2574,1332,833,402,275,1147,No post season
Phoenix Suns,58,31,27,2804,6534,2407,5200,46.3,721,1900,37.9,999,1260,79.3,698,1862,2560,1569,822,420,291,1218,Playoffs
San Antonio Spurs,58,14,44,2804,6524,2498,5312,47,609,1787,34.1,919,1230,74.7,687,1794,2481,1566,905,407,224,1167,No post season
Detroit Pistons,58,15,43,2809,6515,2304,5076,45.4,682,1931,35.3,1225,1584,77.3,640,1815,2455,1322,867,421,216,1303,No post season
Memphis Grizzlies,56,34,22,2698,6502,2430,5152,47.2,630,1828,34.5,1012,1409,71.8,716,1959,2675,1418,810,466,336,1127,Playoffs
Brooklyn Nets,57,33,24,2741,6497,2414,4812,50.2,713,1824,39.1,956,1207,79.2,448,1856,2304,1470,810,394,372,1244,Playoffs
Chicago Bulls,57,26,31,2761,6459,2419,4954,48.8,584,1631,35.8,1037,1275,81.3,483,1957,2440,1382,798,431,257,1113,Playoffs
Orlando Magic,58,24,34,2799,6430,2324,4936,47.1,619,1775,34.9,1163,1478,78.7,577,1906,2483,1315,876,415,268,1179,No post season
Milwaukee Bucks,56,39,17,2708,6417,2340,5050,46.3,798,2231,35.8,939,1275,73.6,656,2094,2750,1381,842,371,279,1026,Playoffs
Philadelphia 76ers,56,37,19,2713,6400,2276,4717,48.3,708,1849,38.3,1140,1377,82.8,484,1789,2273,1406,773,448,263,1139,Playoffs
Washington Wizards,56,26,30,2698,6351,2347,4848,48.4,631,1776,35.5,1026,1309,78.4,526,1935,2461,1416,788,381,304,1079,No post season
Miami Heat,58,32,26,2804,6287,2267,5015,45.2,678,2026,33.5,1075,1295,83,581,1818,2399,1363,779,495,176,1093,Playoffs
Houston Rockets,57,13,44,2746,6270,2274,5025,45.3,619,1892,32.7,1103,1458,75.7,748,1905,2653,1279,970,407,281,1163,No post season
